============================================================
Bolsa de Arte — Coletor de Cotações
Início: 21/03/2026 19:46:14
============================================================
DB atual: 0 cotações
  Modo: varredura completa | Início: pág 1
  Pág   435 | +12 novos | Total novo: 5220
  Pág   436 | +12 novos | Total novo: 5232
  Pág   437 | +12 novos | Total novo: 5244
  Pág   438 | +12 novos | Total novo: 5256
  Pág   439 | +12 novos | Total novo: 5268
  Pág   440 | +12 novos | Total novo: 5280
  Pág   441 | +12 novos | Total novo: 5292
  Pág   442 | +12 novos | Total novo: 5304
  Pág   443 | +12 novos | Total novo: 5316
  Pág   444 | +12 novos | Total novo: 5328
  Pág   445 | +12 novos | Total novo: 5340
  Pág   446 | +12 novos | Total novo: 5352
  Pág   447 | +12 novos | Total novo: 5364
  Pág   448 | +12 novos | Total novo: 5376
  Pág   449 | +12 novos | Total novo: 5388
  Pág   450 | +12 novos | Total novo: 5400
  Pág   451 | +12 novos | Total novo: 5412
  Pág   452 | +12 novos | Total novo: 5424
  Pág   453 | +12 novos | Total novo: 5436
  Pág   454 | +12 novos | Total novo: 5448
  Pág   455 | +12 novos | Total novo: 5460
  Pág   456 | +12 novos | Total novo: 5472
  Pág   457 | +12 novos | Total novo: 5484
  Pág   458 | +12 novos | Total novo: 5496
  Pág   459 | +12 novos | Total novo: 5508
  Pág   460 | +12 novos | Total novo: 5520
  Pág   461 | +12 novos | Total novo: 5532
  Pág   462 | +12 novos | Total novo: 5544
  Pág   463 | +12 novos | Total novo: 5556
  Pág   464 | +12 novos | Total novo: 5568
  Pág   465 | +12 novos | Total novo: 5580
  Pág   466 | +12 novos | Total novo: 5592
  Pág   467 | +12 novos | Total novo: 5604
  Pág   468 | +12 novos | Total novo: 5616
  Pág   469 | +12 novos | Total novo: 5628
  Pág   470 | +12 novos | Total novo: 5640
  Pág   471 | +12 novos | Total novo: 5652
  Pág   472 | +12 novos | Total novo: 5664
  Pág   473 | +12 novos | Total novo: 5676
  Pág   474 | +12 novos | Total novo: 5688
  Pág   475 | +12 novos | Total novo: 5700
  Pág   476 | +12 novos | Total novo: 5712
